mohafaza,caza,village,displayName,source,status
بيروت,بيروت,بيروت,بيروت / بيروت / بيروت,starter,active
جبل لبنان,المتن,جديدة المتن,جبل لبنان / المتن / جديدة المتن,starter,active
جبل لبنان,المتن,برمانا,جبل لبنان / المتن / برمانا,starter,active
جبل لبنان,بعبدا,بعبدا,جبل لبنان / بعبدا / بعبدا,starter,active
جبل لبنان,كسروان,جونية,جبل لبنان / كسروان / جونية,starter,active
الشمال,طرابلس,طرابلس,الشمال / طرابلس / طرابلس,starter,active
الشمال,زغرتا,زغرتا,الشمال / زغرتا / زغرتا,starter,active
عكار,عكار,حلبا,عكار / عكار / حلبا,starter,active
البقاع,زحلة,زحلة,البقاع / زحلة / زحلة,starter,active
البقاع,البقاع الغربي,جب جنين,البقاع / البقاع الغربي / جب جنين,starter,active
بعلبك الهرمل,بعلبك,بعلبك,بعلبك الهرمل / بعلبك / بعلبك,starter,active
بعلبك الهرمل,الهرمل,الهرمل,بعلبك الهرمل / الهرمل / الهرمل,starter,active
الجنوب,صيدا,صيدا,الجنوب / صيدا / صيدا,starter,active
الجنوب,صور,صور,الجنوب / صور / صور,starter,active
النبطية,النبطية,النبطية,النبطية / النبطية / النبطية,starter,active
النبطية,مرجعيون,مرجعيون,النبطية / مرجعيون / مرجعيون,starter,active
بيروت,بيروت,أخرى / تحديد يدوي,بيروت / بيروت / أخرى / تحديد يدوي,manual-fallback,active
جبل لبنان,أخرى / تحديد يدوي,أخرى / تحديد يدوي,جبل لبنان / أخرى / تحديد يدوي / أخرى / تحديد يدوي,manual-fallback,active
الشمال,أخرى / تحديد يدوي,أخرى / تحديد يدوي,الشمال / أخرى / تحديد يدوي / أخرى / تحديد يدوي,manual-fallback,active
عكار,عكار,أخرى / تحديد يدوي,عكار / عكار / أخرى / تحديد يدوي,manual-fallback,active
البقاع,أخرى / تحديد يدوي,أخرى / تحديد يدوي,البقاع / أخرى / تحديد يدوي / أخرى / تحديد يدوي,manual-fallback,active
بعلبك الهرمل,أخرى / تحديد يدوي,أخرى / تحديد يدوي,بعلبك الهرمل / أخرى / تحديد يدوي / أخرى / تحديد يدوي,manual-fallback,active
الجنوب,أخرى / تحديد يدوي,أخرى / تحديد يدوي,الجنوب / أخرى / تحديد يدوي / أخرى / تحديد يدوي,manual-fallback,active
النبطية,أخرى / تحديد يدوي,أخرى / تحديد يدوي,النبطية / أخرى / تحديد يدوي / أخرى / تحديد يدوي,manual-fallback,active
