"canonical_locality_id","arabic_name","source_id","source_record_id","source_path","source_sha256","match_method","review_status","review_reference"
"LB-LOC-10110","عين المريسه","SRC-NATIONAL-VILLAGE-MANIFEST","10110","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-10150","راس بيروت","SRC-NATIONAL-VILLAGE-MANIFEST","10150","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-10210","مصيطبة","SRC-NATIONAL-VILLAGE-MANIFEST","10210","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-10250","مينا الحصن","SRC-NATIONAL-VILLAGE-MANIFEST","10250","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-10310","المزرعة","SRC-NATIONAL-VILLAGE-MANIFEST","10310","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-10350","باشورة","SRC-NATIONAL-VILLAGE-MANIFEST","10350","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-10410","زقاق البلاط","SRC-NATIONAL-VILLAGE-MANIFEST","10410","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-10450","مرفأ","SRC-NATIONAL-VILLAGE-MANIFEST","10450","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-10510","صيفي","SRC-NATIONAL-VILLAGE-MANIFEST","10510","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-10550","رميل","SRC-NATIONAL-VILLAGE-MANIFEST","10550","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-10610","مدور","SRC-NATIONAL-VILLAGE-MANIFEST","10610","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-10650","الاشرفية","SRC-NATIONAL-VILLAGE-MANIFEST","10650","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-10999","وسط بيروت","SRC-NATIONAL-VILLAGE-MANIFEST","10999","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-21111","شياح","SRC-NATIONAL-VILLAGE-MANIFEST","21111","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-21133","فرن الشباك","SRC-NATIONAL-VILLAGE-MANIFEST","21133","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-21144","حارة حريك","SRC-NATIONAL-VILLAGE-MANIFEST","21144","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-21166","ليلكي","SRC-NATIONAL-VILLAGE-MANIFEST","21166","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-21177","برج البراجنة","SRC-NATIONAL-VILLAGE-MANIFEST","21177","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-21188","تحويطة الغدير","SRC-NATIONAL-VILLAGE-MANIFEST","21188","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-21211","بعبدا","SRC-NATIONAL-VILLAGE-MANIFEST","21211","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-21219","حدث","SRC-NATIONAL-VILLAGE-MANIFEST","21219","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-21227","بطشيه","SRC-NATIONAL-VILLAGE-MANIFEST","21227","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
"LB-LOC-21235","مرداشة","SRC-NATIONAL-VILLAGE-MANIFEST","21235","C:\APEX\UL2A_AR_FINALIZER_V1_0_0\APEX_WATANYBOT_UL2A_AR_NATIONAL_MANIFEST_FINALIZER_V1_0_0_PACKAGE\village_manifest.csv","a8c810368436869531bd825a16fb42b9c9680e415648decad6d53bfa012e9760","exact-adm3-pcode","accepted","UL2A-AR-NATIONAL-MANIFEST-1.0.2"
