record_type,runtime_name_en,name_ar,aliases_en,aliases_ar,parent_governorate_en,source_id,source_record_id,source_url,authority_classification
governorate,Akkar,عكار,Akkar,,,IDAL-REGIONS,Akkar governorate,https://investinlebanon.gov.lb/ar/lebanon_at_a_glance/invest_in_regions,PRIMARY_OFFICIAL
governorate,Baalbek-El Hermel,بعلبك الهرمل,Baalbek-Hermel|Baalbek El-Hermel|Baalbek El Hermel,بعلبك-الهرمل|بعلبك – الهرمل,,IDAL-REGIONS,Baalbek-Hermel governorate,https://investinlebanon.gov.lb/ar/lebanon_at_a_glance/invest_in_regions,PRIMARY_OFFICIAL
governorate,Beirut,بيروت,Beirut,,,IDAL-REGIONS,Beirut governorate,https://investinlebanon.gov.lb/ar/lebanon_at_a_glance/invest_in_regions,PRIMARY_OFFICIAL
governorate,Bekaa,البقاع,Bekaa|Beqaa,,,IDAL-REGIONS,Bekaa governorate,https://investinlebanon.gov.lb/ar/lebanon_at_a_glance/invest_in_regions,PRIMARY_OFFICIAL
governorate,Mount Lebanon,جبل لبنان,Mount Lebanon|Mont-Liban,,,IDAL-REGIONS,Mount Lebanon governorate,https://investinlebanon.gov.lb/ar/lebanon_at_a_glance/invest_in_regions,PRIMARY_OFFICIAL
governorate,North,الشمال,North|North Lebanon|El North,,,IDAL-REGIONS,North governorate,https://investinlebanon.gov.lb/ar/lebanon_at_a_glance/invest_in_regions,PRIMARY_OFFICIAL
governorate,El Nabatieh,النبطية,Nabatieh|El Nabatieh|Nabatiyeh,,,IDAL-REGIONS,Nabatieh governorate,https://investinlebanon.gov.lb/ar/lebanon_at_a_glance/invest_in_regions,PRIMARY_OFFICIAL
governorate,South,الجنوب,South|South Lebanon|El South,,,IDAL-REGIONS,South governorate,https://investinlebanon.gov.lb/ar/lebanon_at_a_glance/invest_in_regions,PRIMARY_OFFICIAL
district,Akkar,عكار,Akkar,,Akkar,DGCS-STATISTICS-MAP,Akkar district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Baalbek,بعلبك,Baalbek|Baalbeck,,Baalbek-El Hermel,DGCS-STATISTICS-MAP,Baalbek district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Hermel,الهرمل,Hermel|El Hermel,,Baalbek-El Hermel,DGCS-STATISTICS-MAP,Hermel district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Zahle,زحلة,Zahle|Zahlé,,Bekaa,DGCS-STATISTICS-MAP,Zahle district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,West Bekaa,البقاع الغربي,West Bekaa|Western Bekaa|Bekaa El Gharbi,,Bekaa,DGCS-STATISTICS-MAP,West Bekaa district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Rachaya,راشيا,Rachaya|Rashaya,,Bekaa,DGCS-STATISTICS-MAP,Rachaya district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Baabda,بعبدا,Baabda,,Mount Lebanon,DGCS-STATISTICS-MAP,Baabda district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Aley,عاليه,Aley|Aleyh,,Mount Lebanon,DGCS-STATISTICS-MAP,Aley district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Chouf,الشوف,Chouf|Shouf,,Mount Lebanon,DGCS-STATISTICS-MAP,Chouf district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,El Metn,المتن,El Metn|Metn|Matn,المتن الشمالي,Mount Lebanon,DGCS-STATISTICS-MAP,North Metn district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
