"MUHAFAZA","CAZA","VILLAGE_NAME","VILLAGE_NAME_AR","VILLAGE_CODE","ADM3_PCODE","AREA_SQKM","CENTER_LAT","CENTER_LON","DWG_PATH","SOURCE_CRS","NOTES"
"Akkar","Akkar","Aabboudiyeh","العبودية","LB_Akka_Akka_Aabboudiyeh","35249","0.26126812","34.6358627","36.11869755","","22700",""
"Akkar","Akkar","Aain Ez-Zeit","عين الزيت","LB_Akka_Akka_Aain_Ez_Zeit","35427","1.60594302","34.5898834","36.19806475","","22700",""
"Akkar","Akkar","Aain Tinta","عين تنتا","LB_Akka_Akka_Aain_Tinta","35435","1.52249897","34.5865719","36.18302053","","22700",""
"Akkar","Akkar","Aain Yaaqoub","عين يعقوب","LB_Akka_Akka_Aain_Yaaqoub","35187","3.76203101","34.52149379","36.2033353","","22700",""
"Akkar","Akkar","Aaiyat","عيات","LB_Akka_Akka_Aaiyat","35185","2.78363567","34.5379369","36.19864908","","22700",""
"Akkar","Akkar","Aakkar El-Aatiqa","عكار العتيقة","LB_Akka_Akka_Aakkar_El_Aa","35191","28.16463121","34.53167704","36.24460095","","22700",""
"Akkar","Akkar","Aamaret Aakkar","عماره","LB_Akka_Akka_Aamaret_Aakk","35265","2.27833309","34.53128334","36.00705852","","22700",""
"Akkar","Akkar","Aamaret El-Baykat","عمار البيكات","LB_Akka_Akka_Aamaret_El_B","35449","3.82951373","34.61148895","36.16647835","","22700",""
"Akkar","Akkar","Aamayer","العماير","LB_Akka_Akka_Aamayer","35512","15.86869703","34.61926706","36.37144716","","22700",""
"Akkar","Akkar","Aamriyet Aakkar","العمارية","LB_Akka_Akka_Aamriyet_Aak","35421","3.15309702","34.60237408","36.23046383","","22700",""
"Akkar","Akkar","Aandqet","عندقت","LB_Akka_Akka_Aandqet","35498","27.16236608","34.568107","36.31161589","","22700",""
"Akkar","Akkar","Aaouaainat Aakkar","العوينات","LB_Akka_Akka_Aaouaainat_A","35420","2.71137911","34.62841075","36.30054491","","22700",""
"Akkar","Akkar","AAridet Cheikh Zennad","العريضة","LB_Akka_Akka_AAridet_Chei","35273","4.22461247","34.63536119","35.98615918","","22700",""
"Akkar","Akkar","Aarmeh","عرمه","LB_Akka_Akka_Aarmeh","35484","1.74809327","34.62753035","36.16445943","","22700",""
"Akkar","Akkar","Aarqa","عرقا","LB_Akka_Akka_Aarqa","35141","8.39979676","34.54432298","36.04291526","","22700",""
"Akkar","Akkar","Aayoun Aakkar","العيون","LB_Akka_Akka_Aayoun_Aakka","35177","0.50727936","34.53127615","36.17360872","","22700",""
"Akkar","Akkar","Aayoun El-Ghizlane","عيون الغزلان","LB_Akka_Akka_Aayoun_El_Gh","35347","1.03499788","34.4724024","36.01560496","","22700",""
"Akkar","Akkar","Baghdadi","دوسة بغدادي","LB_Akka_Akka_Baghdadi","35439","4.01770019","34.60424003","36.18298737","","22700",""
"Akkar","Akkar","Balde WaMazraatBaldeh","بلدي","LB_Akka_Akka_Balde_WaMazr","35158","1.81218041","34.56075783","36.14531445","","22700",""
"Akkar","Akkar","Barcha","برشا","LB_Akka_Akka_Barcha","35241","1.00206177","34.62651357","36.12083727","","22700",""
"Akkar","Akkar","Bardeh","بردي","LB_Akka_Akka_Bardeh","35408","1.81426488","34.59509775","36.25555102","","22700",""
"Akkar","Akkar","Bebnine","ببنين","LB_Akka_Akka_Bebnine","35275","6.77261615","34.50669367","35.99120282","","22700",""
"Akkar","Akkar","Beino","بينو","LB_Akka_Akka_Beino","35175","9.61267682","34.54779501","36.17623847","","22700",""
"Akkar","Akkar","Beit Ayoub","بيت ايوب","LB_Akka_Akka_Beit_Ayoub","35337","0.47042559","34.4724027","36.15807892","","22700",""
"Akkar","Akkar","Beit El-Haouch","بيت الحوش","LB_Akka_Akka_Beit_El_Haou","35367","3.31217593","34.47848866","35.99739508","","22700",""
"Akkar","Akkar","Beit Mellat","بيت ملات","LB_Akka_Akka_Beit_Mellat","35174","2.65739635","34.53323338","36.15777595","","22700",""
"Akkar","Akkar","Beit Younes","بيت يونس","LB_Akka_Akka_Beit_Younes","35321","1.16640233","34.47484675","36.14681425","","22700",""
"Akkar","Akkar","Berbara Aakkar","برباره","LB_Akka_Akka_Berbara_Aakk","35433","1.14655281","34.57402383","36.18761807","","22700",""
"Akkar","Akkar","Berqayel","برقايل","LB_Akka_Akka_Berqayel","35314","6.27891343","34.49043247","36.03035292","","22700",""
"Akkar","Akkar","Bezbina","بزبينا","LB_Akka_Akka_Bezbina","35189","5.92536499","34.51315875","36.19154409","","22700",""
"Akkar","Akkar","Biret Aakkar","البيره عكار","LB_Akka_Akka_Biret_Aakkar","35416","3.64423565","34.59199817","36.23805436","","22700",""
"Akkar","Akkar","Borj Aakkar","البرج عكار","LB_Akka_Akka_Borj_Aakkar","35183","0.24591562","34.53251213","36.18740557","","22700",""
"Akkar","Akkar","Bqerzla","بقرزلا","LB_Akka_Akka_Bqerzla","35147","8.17689949","34.51162099","36.06552146","","22700",""
"Akkar","Akkar","Bsatine Aakkar","فسقين و عين اشما","LB_Akka_Akka_Bsatine_Aakk","35425","1.3084415","34.57919095","36.20179217","","22700",""
"Akkar","Akkar","Bzal","بزال","LB_Akka_Akka_Bzal","35316","8.69922026","34.46448326","36.04661974","","22700",""
"Akkar","Akkar","Chane","شان","LB_Akka_Akka_Chane","35320","2.37960847","34.48495798","36.11117027","","22700",""
"Akkar","Akkar","Chaqdouf","الشقدوف","LB_Akka_Akka_Chaqdouf","35181","0.09398871","34.52887421","36.19149113","","22700",""
"Akkar","Akkar","Charbila","شربيلا","LB_Akka_Akka_Charbila","35457","5.17588362","34.58149992","36.14562121","","22700",""
"Akkar","Akkar","Cheikh Mohammad","الشيخ محمد","LB_Akka_Akka_Cheikh_Moham","35113","0.97184735","34.55413693","36.08262082","","22700",""
"Akkar","Akkar","Cheikh Taba","الشيخ طابا","LB_Akka_Akka_Cheikh_Taba","35123","1.73555622","34.53421683","36.08081822","","22700",""
"Akkar","Akkar","Cheikh Taba Es-Sahl","الشيخ طابا السهل","LB_Akka_Akka_Cheikh_Taba_","35121","1.25139473","34.55128354","36.06115666","","22700",""
