"duplicate_key","MUHAFAZA","CAZA","VILLAGE_NAME","VILLAGE_NAME_AR","VILLAGE_CODE","ADM3_PCODE","disposition"
"LB_Moun_Baab_Ouadi_Chahro","Mount Lebanon","Baabda","Ouadi Chahrour Es-Soufla","وادي شحرور السفلى","LB_Moun_Baab_Ouadi_Chahro","21259","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Moun_Baab_Ouadi_Chahro","Mount Lebanon","Baabda","Ouadi Chahrour El Aaoulia","وادي شحرور العليا","LB_Moun_Baab_Ouadi_Chahro","21267","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Moun_Aley_Choueifat_El","Mount Lebanon","Aley","Choueifat El-Aamrousiyeh","عمروسية الشويفات","LB_Moun_Aley_Choueifat_El","24111","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Moun_Aley_Choueifat_El","Mount Lebanon","Aley","Choueifat El-Quoubbeh","قبة الشويفات","LB_Moun_Aley_Choueifat_El","24133","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Moun_Aley_Choueifat_El","Mount Lebanon","Aley","Choueifat El-Oumara","الشويفات الامراء","LB_Moun_Aley_Choueifat_El","24155","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Nort_Trip_Trablous_Ez_","North","Tripoli","Trablous Ez-Zeitoun","طرابلس الزيتون","LB_Nort_Trip_Trablous_Ez_","31111","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Nort_Trip_Trablous_Ez_","North","Tripoli","Trablous Ez-Zahrieh","الزاهرية","LB_Nort_Trip_Trablous_Ez_","31156","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Nort_Trip_Trablous_El_","North","Tripoli","Trablous El-Haddadine, El-Hadid, El-Mharta","الحدادين","LB_Nort_Trip_Trablous_El_","31116","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Nort_Trip_Trablous_El_","North","Tripoli","Trablous El Mhatra","المهاترة","LB_Nort_Trip_Trablous_El_","31131","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Nort_Trip_Trablous_El_","North","Tripoli","Trablous El Hadid","الحديد","LB_Nort_Trip_Trablous_El_","31146","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Nort_Trip_Trablous_El_","North","Tripoli","Trablous El-Qobbe","القبة","LB_Nort_Trip_Trablous_El_","31151","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Nort_Trip_Trablous_Et_","North","Tripoli","Trablous Et-Tell","التل","LB_Nort_Trip_Trablous_Et_","31121","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Nort_Trip_Trablous_Et_","North","Tripoli","Trablous et Tabbaneh","التبانة","LB_Nort_Trip_Trablous_et_","31161","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Nort_El_B_Deir_Mar_You","North","El Batroun","Deir Mar Youssef Jrabta","دير مار يوسف جربتا","LB_Nort_El_B_Deir_Mar_You","34227","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Nort_El_B_Deir_Mar_You","North","El Batroun","Deir Mar Youhanna EL-Batroun","دير مار يوحنا دوما","LB_Nort_El_B_Deir_Mar_You","34326","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Nort_El_B_Tannourine_E","North","El Batroun","Tannourine Et-Tahta","تنورين التحتا","LB_Nort_El_B_Tannourine_E","34356","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Nort_El_B_Tannourine_E","North","El Batroun","Tannourine El-Faouqa","تنورين الفوقا","LB_Nort_El_B_Tannourine_E","34386","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Akka_Akka_Tall_Aabbas_","Akkar","Akkar","Tall Aabbas El-Gharbi","تلعباس غربي","LB_Akka_Akka_Tall_Aabbas_","35211","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Akka_Akka_Tall_Aabbas_","Akkar","Akkar","Tall Aabbas Ech-Charqi","تل عباس الشرقي","LB_Akka_Akka_Tall_Aabbas_","35213","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Beka_Zahl_Zahleh_Haouc","Bekaa","Zahle","Zahleh Haouch Ez-Zaraane","حوش الزراعنة","LB_Beka_Zahl_Zahleh_Haouc","51113","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Beka_Zahl_Zahleh_Haouc","Bekaa","Zahle","Zahleh Haouch El-Oumara","تل شيحا","LB_Beka_Zahl_Zahleh_Haouc","51131","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Baal_Baal_Ras_Baalbek_","Baalbek-El Hermel","Baalbek","Ras Baalbek Es-Sahel","راس بعلبك","LB_Baal_Baal_Ras_Baalbek_","53211","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Baal_Baal_Ras_Baalbek_","Baalbek-El Hermel","Baalbek","Ras Baalbek Ech-Charqi","راس بعلبك الشرقي","LB_Baal_Baal_Ras_Baalbek_","53227","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Baal_El_H_Ras_Baalbek_","Baalbek-El Hermel","El Hermel","Ras Baalbek El Gharbi","راس بعلبك الغربي","LB_Baal_El_H_Ras_Baalbek_","54135","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Baal_El_H_Ras_Baalbek_","Baalbek-El Hermel","El Hermel","Ras Baalbek Ouadi Faara","راس بعلبك وادي فعرا","LB_Baal_El_H_Ras_Baalbek_","54143","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Sout_Sour_Deir_Qanoun_","South","Sour","Deir Qanoun El-Aain","دير قانون","LB_Sout_Sour_Deir_Qanoun_","62179","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
"LB_Sout_Sour_Deir_Qanoun_","South","Sour","Deir Qanoun En-Nahr","دير قانون النهر","LB_Sout_Sour_Deir_Qanoun_","62263","NON_BLOCKING_ALIAS_OR_SOURCE_CODE_DUPLICATE; ADM3_PCODE_REMAINS_PRIMARY_IDENTITY"
