"record_id","reason"
"LB-LOC-35249","municipality mapping unavailable"
"LB-LOC-35427","municipality mapping unavailable"
"LB-LOC-35435","municipality mapping unavailable"
"LB-LOC-35187","municipality mapping unavailable"
"LB-LOC-35185","municipality mapping unavailable"
"LB-LOC-35191","municipality mapping unavailable"
"LB-LOC-35265","municipality mapping unavailable"
"LB-LOC-35449","municipality mapping unavailable"
"LB-LOC-35512","municipality mapping unavailable"
"LB-LOC-35421","municipality mapping unavailable"
"LB-LOC-35498","municipality mapping unavailable"
"LB-LOC-35420","municipality mapping unavailable"
"LB-LOC-35273","municipality mapping unavailable"
"LB-LOC-35484","municipality mapping unavailable"
"LB-LOC-35141","municipality mapping unavailable"
"LB-LOC-35177","municipality mapping unavailable"
"LB-LOC-35347","municipality mapping unavailable"
"LB-LOC-35439","municipality mapping unavailable"
"LB-LOC-35158","municipality mapping unavailable"
"LB-LOC-35241","municipality mapping unavailable"
