"crosswalk_id","canonical_locality_id","canonical_code","pcode","governorate_id","district_or_equivalent_id","municipality_id","current_name_en","candidate_name_ar","normalized_name_ar","source_id","source_record_id","source_name_en","source_name_ar","source_governorate","source_district","match_method","match_keys","confidence","review_status","conflict_status","reviewed_by","reviewed_at","notes"
"LB-XW-106B141BDA9C","LB-LOC-53624DE9A865","LB-LOC-53624DE9A865","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Aadbal","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-A3FAB9DCEAF3","LB-LOC-F8782348CF9E","LB-LOC-F8782348CF9E","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Aajjeh","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-04FF3B68B286","LB-LOC-914B203B4FE7","LB-LOC-914B203B4FE7","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Abdeh","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-75726843AB42","LB-LOC-D5DD7786142B","LB-LOC-D5DD7786142B","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Abou_Hanna","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-A7280FE6EE4E","LB-LOC-380403BF8A4E","LB-LOC-380403BF8A4E","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Achouriye","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-8AA21B782921","LB-LOC-DB5F06F50CF4","LB-LOC-DB5F06F50CF4","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Adweh","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-23AD157F7519","LB-LOC-CB11AAC595C2","LB-LOC-CB11AAC595C2","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Aidamoun","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-FB0438EBEFF7","LB-LOC-A64B93CD8D86","LB-LOC-A64B93CD8D86","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Ain_Akrine-AK","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-1033A5FA3387","LB-LOC-FCFDDC886872","LB-LOC-FCFDDC886872","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Ain_Yaaqoub","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-75A4B2AFD926","LB-LOC-4E05B01A2DBF","LB-LOC-4E05B01A2DBF","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Ain_ech-Chqif","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-26396F1C67CD","LB-LOC-328BABF92B01","LB-LOC-328BABF92B01","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Ain_ed-Dahab","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-552440B0A014","LB-LOC-F826CBAFAA5F","LB-LOC-F826CBAFAA5F","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Ain_et-Tine-AK","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
