"canonical_locality_id","arabic_name","source_id","source_record_id","source_url","source_sha256","match_method","review_status","review_reference"
"LB-LOC-53624DE9A865","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-F8782348CF9E","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-914B203B4FE7","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-D5DD7786142B","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-380403BF8A4E","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-DB5F06F50CF4","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-CB11AAC595C2","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-A64B93CD8D86","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-FCFDDC886872","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-4E05B01A2DBF","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-328BABF92B01","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-F826CBAFAA5F","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-B6E0445DF913","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-FAAE67698E58","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-CCA03F1190F2","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-CE7DB9E869D9","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-12B799DE66BB","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-3763C2F4BB27","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-B9006B065FA4","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-4371EEF2814F","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-3489BEA5F617","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-FE27B0578FF0","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-C02F37CDD9CB","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-0F6186A4399B","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-194044CB7A9F","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-4DE322BBB013","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-12C8D17C3B52","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-3676A5FD9E08","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-60D8727EC9EC","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
