"canonical_locality_id","current_name_en","candidate_name_ar","review_status"
"LB-LOC-53624DE9A865","Aadbal","","unresolved"
"LB-LOC-F8782348CF9E","Aajjeh","","unresolved"
"LB-LOC-914B203B4FE7","Abdeh","","unresolved"
"LB-LOC-D5DD7786142B","Abou_Hanna","","unresolved"
"LB-LOC-380403BF8A4E","Achouriye","","unresolved"
"LB-LOC-DB5F06F50CF4","Adweh","","unresolved"
"LB-LOC-CB11AAC595C2","Aidamoun","","unresolved"
"LB-LOC-A64B93CD8D86","Ain_Akrine-AK","","unresolved"
"LB-LOC-FCFDDC886872","Ain_Yaaqoub","","unresolved"
"LB-LOC-4E05B01A2DBF","Ain_ech-Chqif","","unresolved"
"LB-LOC-328BABF92B01","Ain_ed-Dahab","","unresolved"
"LB-LOC-F826CBAFAA5F","Ain_et-Tine-AK","","unresolved"
"LB-LOC-B6E0445DF913","Ain_et-Tineh-AK","","unresolved"
"LB-LOC-FAAE67698E58","Ain_ez-Zouq","","unresolved"
"LB-LOC-CCA03F1190F2","Akkar_el-Atika","","unresolved"
"LB-LOC-CE7DB9E869D9","Akkar_el-Atika_Aala","","unresolved"
"LB-LOC-12B799DE66BB","Amaayer","","unresolved"
"LB-LOC-3763C2F4BB27","Amara","","unresolved"
"LB-LOC-B9006B065FA4","Ambeh","","unresolved"
"LB-LOC-4371EEF2814F","Andaket","","unresolved"
"LB-LOC-3489BEA5F617","Aqbeh","","unresolved"
"LB-LOC-FE27B0578FF0","Arqa","","unresolved"
"LB-LOC-C02F37CDD9CB","Ayat","","unresolved"
"LB-LOC-0F6186A4399B","Barqayel","","unresolved"
"LB-LOC-194044CB7A9F","Bebnine","","unresolved"
"LB-LOC-4DE322BBB013","Beit_Ayad","","unresolved"
"LB-LOC-12C8D17C3B52","Beit_Ayoub","","unresolved"
"LB-LOC-3676A5FD9E08","Beit_Challa","","unresolved"
"LB-LOC-60D8727EC9EC","Beit_Dawoud","","unresolved"
"LB-LOC-C3D3833BD810","Beit_Ghatas","","unresolved"
"LB-LOC-69096215F6E8","Beit_Hawik","","unresolved"
"LB-LOC-C744803BA4EC","Beit_Jaafar-AK","","unresolved"
"LB-LOC-C6D5FBBC8A46","Beit_Mellat","","unresolved"
"LB-LOC-42847D6188C8","Beit_Mleik","","unresolved"
"LB-LOC-F26A20DBC549","Beit_Younes","","unresolved"
"LB-LOC-C917AD1395B7","Beit_Younes_el-Aala","","unresolved"
"LB-LOC-87AF6A506314","Beit_el-Haj","","unresolved"
"LB-LOC-E1256D0D6759","Beit_el-Haj_Hassan","","unresolved"
"LB-LOC-ACAE1E490634","Beit_el-Qadi","","unresolved"
"LB-LOC-7365D28B0183","Bino-AK","","unresolved"
"LB-LOC-3B5FBE5042FD","Bireh","","unresolved"
"LB-LOC-A9C88A80B497","Bireh-AK","","unresolved"
"LB-LOC-5AE94721E014","Blaneh","","unresolved"
"LB-LOC-6F08286AD76D","Bniha","","unresolved"
"LB-LOC-30DFF735F16B","Bticha","","unresolved"
"LB-LOC-6453629EA650","Byoud","","unresolved"
"LB-LOC-53615AF9346D","Bzal","","unresolved"
"LB-LOC-D77C6D0BD7F8","Chaft","","unresolved"
"LB-LOC-C3DF64E0096A","Chane","","unresolved"
"LB-LOC-AA5F0B403A2B","Chdra","","unresolved"
"LB-LOC-8E672F405A1E","Cheikh_Ayache","","unresolved"
"LB-LOC-136F23CE1EBC","Cheikh_Mohammad","","unresolved"
"LB-LOC-B8EE8186CCDB","Cheikh_Taba","","unresolved"
"LB-LOC-5F68AC21939B","Daghleh","","unresolved"
"LB-LOC-32C841CAABD6","Dawsseh","","unresolved"
"LB-LOC-2C9FD6F7B4AA","Dbabiyeh","","unresolved"
"LB-LOC-55E703404D67","Dbabiyeh_el-Fawqa","","unresolved"
"LB-LOC-67510F4F9619","Deir_Jnine","","unresolved"
"LB-LOC-A8D525EC44EF","El-Achach","","unresolved"
"LB-LOC-66537561732A","El-Basatine","","unresolved"
"LB-LOC-E19D5FFBBA7E","El-Kniseh-AK","","unresolved"
"LB-LOC-42AFCEB6B23C","El-Qubbeh-AK","","unresolved"
"LB-LOC-7FA25B7EE41D","El-Qubbeh_ech-Chamaliye","","unresolved"
"LB-LOC-BFA6ABA93EE2","El_Qobaiyat","","unresolved"
"LB-LOC-9AD9DF4899BB","Faydha","","unresolved"
"LB-LOC-B47B7DAAFE43","Fnaideq","","unresolved"
"LB-LOC-3CA1AEB5BC4C","Fnaideq_el-Gharbiye","","unresolved"
"LB-LOC-1701EAD26C96","Hakour","","unresolved"
"LB-LOC-0ACBC221BDC4","Halba","","unresolved"
"LB-LOC-5BD697303EF3","Halba_el-Aalya","","unresolved"
"LB-LOC-D620767CD794","Halbata","","unresolved"
"LB-LOC-19BB8CED948A","Hamra-AK","","unresolved"
"LB-LOC-31760CC7E728","Hamraya","","unresolved"
"LB-LOC-164D04E72BA3","Haql_Hassan","","unresolved"
"LB-LOC-1DA9DC2E5953","Haql_el-Alam","","unresolved"
"LB-LOC-8CC9CB005B8A","Haqr_ed-Dahiri","","unresolved"
"LB-LOC-41D822E7F1D3","Harbata-AK","","unresolved"
"LB-LOC-0E5A46E865FF","Haret_el-Janneh","","unresolved"
"LB-LOC-13CAF4690B8E","Hbchit","","unresolved"
"LB-LOC-80A31984A3A8","Hnaydir","","unresolved"
"LB-LOC-0F84E0E8033B","Hnaydir_el-Aalya","","unresolved"
"LB-LOC-7EB191B706AE","Houch_es-Sayed_Ali","","unresolved"
"LB-LOC-A29EB5E95468","Hrar","","unresolved"
"LB-LOC-A27B0C29EF73","Hrara","","unresolved"
"LB-LOC-12840C10AF06","Hwacheb","","unresolved"
"LB-LOC-2136D1978975","Hwaych","","unresolved"
"LB-LOC-E89FB312EF2A","Jahiliye-AK","","unresolved"
"LB-LOC-9608EDACD13F","Jbraiel","","unresolved"
"LB-LOC-4CB683AE2E6C","Jdeidet_Akkar","","unresolved"
"LB-LOC-4F8AC423E56F","Jdeidet_el-Qaytaa","","unresolved"
"LB-LOC-A6BC225893B3","Jmaleh","","unresolved"
"LB-LOC-CB8B4D46E49F","Jord","","unresolved"
"LB-LOC-937F088D5B39","Karm_Asfour","","unresolved"
"LB-LOC-61266EE7C663","Kawthariyet_Akkar","","unresolved"
"LB-LOC-7EDD02EE2BAF","Kfar_Melki","","unresolved"
"LB-LOC-4491DA01E210","Kfartoun","","unresolved"
"LB-LOC-9D830004660F","Khan_el-Makhlaleh","","unresolved"
"LB-LOC-75270E53FA84","Kharnoub","","unresolved"
"LB-LOC-B2C1B7CB0906","Kheybat_ej-Jisr","","unresolved"
"LB-LOC-67B72B3EF246","Khirbet_Char","","unresolved"
"LB-LOC-65F96B55D106","Khirbet_ej-Jnein","","unresolved"
"LB-LOC-F446C5F6AE69","Khreibeh","","unresolved"
"LB-LOC-B9E40ED1E560","Khreybat_el-Jondi","","unresolved"
"LB-LOC-B22F8F1CCD0E","Koucha","","unresolved"
"LB-LOC-F268F0BEFC9F","Koucha_el-Aalya","","unresolved"
"LB-LOC-231521EC324B","Maarouboun","","unresolved"
"LB-LOC-EA89453D607B","Mazraat_Balda-AK","","unresolved"
"LB-LOC-15CD5AB97FFB","Mazraat_es-Sahl","","unresolved"
"LB-LOC-33E41FE0A08A","Mechha","","unresolved"
"LB-LOC-64F07EE78E94","Mechha_el-Akkariye","","unresolved"
"LB-LOC-9A4BA04DF886","Mechmech-AK","","unresolved"
"LB-LOC-789AB5A518F2","Mechmech_Akkar","","unresolved"
"LB-LOC-26EEEF38E69A","Mechta_Hammoud","","unresolved"
"LB-LOC-92417DA44FAC","Mechta_Hassan","","unresolved"
"LB-LOC-65571ABD7D73","Mechta_el-Mansoura","","unresolved"
"LB-LOC-483276F1AEF7","Menjez","","unresolved"
"LB-LOC-EDD7BFE366EC","Mghraq","","unresolved"
"LB-LOC-8E6592ACF4D7","Morreh","","unresolved"
"LB-LOC-C8D062D49764","Mqanneh","","unresolved"
"LB-LOC-CEFF45D87CC0","Mqaybleh","","unresolved"
"LB-LOC-C7AA0B703A04","Mqaymiye","","unresolved"
"LB-LOC-F8FC5728DB0E","Mqaysra","","unresolved"
"LB-LOC-846ACCB85317","Mqaytaa","","unresolved"
"LB-LOC-304FDF0D63F4","Mqraq","","unresolved"
"LB-LOC-033A07CF504E","Mwaylhe","","unresolved"
"LB-LOC-B1474B76800E","Nbaa_el-Bir","","unresolved"
"LB-LOC-09ED0A1EE55C","Qammoua","","unresolved"
"LB-LOC-76DF24178DE7","Qammoua_el-Aalya","","unresolved"
"LB-LOC-1A31AB72B3EA","Qarhayouna","","unresolved"
"LB-LOC-9032CB992BE9","Qayadreh","","unresolved"
"LB-LOC-0398AC3A1639","Qlayaa-AK","","unresolved"
"LB-LOC-61B3C3A633E1","Qobaiyat_el-Aalya","","unresolved"
"LB-LOC-6AD7BB30C097","Qorn_Akkar","","unresolved"
"LB-LOC-BB7D4120B8A3","Qorneh-AK","","unresolved"
"LB-LOC-2F116B229EBE","Rahbe","","unresolved"
"LB-LOC-984DBC0E8B95","Rahbe_el-Gharbiye","","unresolved"
"LB-LOC-BAC7E28670D9","Ras_Baalbek-AK","","unresolved"
"LB-LOC-FB3C17340F4B","Rwaysset_Akkar","","unresolved"
"LB-LOC-42B334B04F6F","Safinet_el-Qaytaa","","unresolved"
"LB-LOC-D95D4EB48474","Sahel_Alma-AK","","unresolved"
"LB-LOC-3807E0FD34D3","Sanbourah","","unresolved"
"LB-LOC-C78897BE2188","Saqia","","unresolved"
"LB-LOC-CAC2DF4673CE","Sfireh","","unresolved"
"LB-LOC-1D9D6BB181C3","Smaqiye","","unresolved"
"LB-LOC-89F44557728E","Srar","","unresolved"
"LB-LOC-8A887EC2BBEC","Tall_Abbas_ech-Charqi","","unresolved"
"LB-LOC-D1E27C886D99","Tall_Abbas_el-Gharbi","","unresolved"
"LB-LOC-703DD14E05F4","Tall_Bireh","","unresolved"
"LB-LOC-392676BFBF5C","Tall_Hamira","","unresolved"
"LB-LOC-1210F92878B1","Tall_Haya","","unresolved"
"LB-LOC-6FCC73EACF9D","Tall_Homs","","unresolved"
"LB-LOC-83718625E2A3","Tall_Kalakh","","unresolved"
"LB-LOC-5D0495937246","Tall_Maayan","","unresolved"
"LB-LOC-7B8A00BA5338","Tall_Majdel","","unresolved"
"LB-LOC-3F00D5FD7EF5","Tall_Nahas","","unresolved"
"LB-LOC-ED3C4B5D4247","Tikrit","","unresolved"
"LB-LOC-F713C3A2B93B","Tikrit_el-Aala","","unresolved"
"LB-LOC-C3333844C303","Tleil","","unresolved"
"LB-LOC-EB8283314F75","Tleil_el-Fawqa","","unresolved"
"LB-LOC-272066AAD126","Wadi_Khaled","","unresolved"
"LB-LOC-3C90AD1ACDBE","Wadi_ej-Jamous","","unresolved"
"LB-LOC-BDE4D736C87E","Wadi_ej-Jamous_ech-Charqi","","unresolved"
"LB-LOC-CE378FE8128F","Wadi_ej-Jamous_el-Gharbi","","unresolved"
"LB-LOC-40ED7ACAF369","Wadi_el-Hariq","","unresolved"
"LB-LOC-510296713BDE","Wadi_el-Hour","","unresolved"
"LB-LOC-B66B5BBF66B2","Wasta","","unresolved"
"LB-LOC-633840720CAE","Zouq_Bhanine","","unresolved"
"LB-LOC-C32B9AAA21E7","Zouq_el-Hosniye","","unresolved"
"LB-LOC-BAD392B148DE","Zouq_el-Jomaa","","unresolved"
"LB-LOC-7D1E2FE77186","Aalmat-BT","","unresolved"
"LB-LOC-BF5236F9570F","Aaqoura-BT","","unresolved"
"LB-LOC-BB3C493ED391","Abrine","","unresolved"
"LB-LOC-26B2CC945A62","Ain_el-Ghouaybeh-BT","","unresolved"
"LB-LOC-5585D40ECDD3","Batroun","","unresolved"
"LB-LOC-6503FE0A12EE","Batroun_el-Balad","","unresolved"
"LB-LOC-803B7E6E2C0A","Bchaaleh","","unresolved"
"LB-LOC-94B4BFD52506","Bchtoudar","","unresolved"
"LB-LOC-8ABCDA212641","Beit_Chlela","","unresolved"
"LB-LOC-CACF77D152D9","Bijjeh-BT","","unresolved"
"LB-LOC-E76A62380CC7","Bjaj","","unresolved"
"LB-LOC-CC7C47D584F0","Bjdarfel","","unresolved"
"LB-LOC-F82DCF154CA4","Btablat","","unresolved"
"LB-LOC-C5A34CB888B7","Btedii","","unresolved"
"LB-LOC-28A8E7066DD1","Bthnayel","","unresolved"
"LB-LOC-4722B019DF4E","Btroumine","","unresolved"
"LB-LOC-24C64D00E348","Chatine","","unresolved"
"LB-LOC-0912C410B726","Chikhan","","unresolved"
"LB-LOC-EB7F9134280A","Deir_el-Ballout","","unresolved"
"LB-LOC-191DED7EE627","Douma","","unresolved"
"LB-LOC-20EB6A766D66","Douma_el-Fawqa","","unresolved"
"LB-LOC-A37AECF7057F","Eddeh","","unresolved"
"LB-LOC-055C0FBC6471","Fghal","","unresolved"
"LB-LOC-95CE13F6BDB8","Habil","","unresolved"
"LB-LOC-F912703D20C7","Halba-BT","","unresolved"
"LB-LOC-A129940E5CC1","Hamat","","unresolved"
"LB-LOC-F69982B7E606","Hardine","","unresolved"
"LB-LOC-014CFD8CEA1A","Hardine-BT","","unresolved"
"LB-LOC-9C28088D8969","Hawqa","","unresolved"
"LB-LOC-0E32C8A307A0","Iden","","unresolved"
"LB-LOC-ADB5D4B39DE8","Jrane-BT","","unresolved"
"LB-LOC-82165709EA26","Kfar_Abida-BT","","unresolved"
"LB-LOC-1D9F06680A51","Kfar_Chlimane","","unresolved"
"LB-LOC-7CD7BE21D579","Kfar_Halda-BT","","unresolved"
"LB-LOC-06E22DD03AEA","Kfar_Hay-BT","","unresolved"
"LB-LOC-E0C61C385583","Kfar_Hlawa","","unresolved"
"LB-LOC-CE1BABE64309","Kfifane-BT","","unresolved"
"LB-LOC-613D1A74DDAA","Kfour_el-Arabi","","unresolved"
"LB-LOC-C2B6681FC5A2","Mghayreh-BT","","unresolved"
"LB-LOC-700CFD1070E7","Mouhammara-BT","","unresolved"
"LB-LOC-93B1253D042E","Mseilha","","unresolved"
"LB-LOC-64C035EAA741","Nbaa-BT","","unresolved"
"LB-LOC-ED5B1FAAC906","Qaytouleh","","unresolved"
"LB-LOC-7F5B562255E0","Rachkida","","unresolved"
"LB-LOC-47C8E7996010","Ras_Nhach-BT","","unresolved"
"LB-LOC-DE0A32411E6F","Salaa","","unresolved"
"LB-LOC-78B99565FCF6","Samanda","","unresolved"
"LB-LOC-10FE39373799","Saydet_en-Najat","","unresolved"
"LB-LOC-727D0F5D0B76","Sourat-BT","","unresolved"
"LB-LOC-565C557D4FA3","Tahom","","unresolved"
"LB-LOC-822A46FEA480","Tannourine","","unresolved"
"LB-LOC-F73268E85530","Tannourine_el-Fawqa","","unresolved"
"LB-LOC-40718AAA82D4","Tannourine_et-Tahta","","unresolved"
"LB-LOC-CA980F4AC6CE","Twaleh","","unresolved"
"LB-LOC-3B9FCBAAF9FB","Wata_Houb-BT","","unresolved"
"LB-LOC-DCED4F215FED","Abdine","","unresolved"
"LB-LOC-7AC3DC0F96F8","Achach-BS","","unresolved"
"LB-LOC-9B2FCA7E9C8B","Ain_Aata-BS","","unresolved"
"LB-LOC-CF9D55ACE9DF","Ain_et-Tineh-BS","","unresolved"
"LB-LOC-245CEC1B7EE3","Bane-BS","","unresolved"
"LB-LOC-2368651F9ED9","Beit_Mounzer","","unresolved"
"LB-LOC-C19473E9163C","Beit_Qasab","","unresolved"
"LB-LOC-4E16791675F2","Blouza","","unresolved"
"LB-LOC-24D44D71D0E0","Blouza_ech-Chamaliye","","unresolved"
"LB-LOC-3440DC5E8DF9","Bqaa_Kafra_Cedars","","unresolved"
"LB-LOC-E22F56ABAAA8","Brihlioun","","unresolved"
"LB-LOC-FFFC8D597A8F","Bsharri","","unresolved"
"LB-LOC-01732CB3EEC9","Bsharri_el-Aala","","unresolved"
"LB-LOC-EDA19EA18A68","Bsharri_el-Gharbiye","","unresolved"
"LB-LOC-597269700C8E","Bzaoun-BS","","unresolved"
