"crosswalk_id","canonical_locality_id","canonical_code","pcode","governorate_id","district_or_equivalent_id","municipality_id","current_name_en","candidate_name_ar","normalized_name_ar","source_id","source_record_id","source_name_en","source_name_ar","source_governorate","source_district","match_method","match_keys","confidence","review_status","conflict_status","reviewed_by","reviewed_at","notes"
"LB-XW-9E301FE06906","LB-LOC-35249","LB-LOC-35249","35249","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","Aabboudiyeh","العبودية","العبودية","SRC-NATIONAL-VILLAGE-MANIFEST","35249","Aabboudiyeh","العبودية","","","exact-pcode","ADM3_PCODE=35249","1","accepted","none","owner-review-pending","2026-08-06T08:11:43.434Z","Exact stable ADM3_PCODE mapping; owner approval remains pending"
"LB-XW-3A47A869BF8E","LB-LOC-35427","LB-LOC-35427","35427","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","Aain Ez-Zeit","عين الزيت","عين الزيت","SRC-NATIONAL-VILLAGE-MANIFEST","35427","Aain Ez-Zeit","عين الزيت","","","exact-pcode","ADM3_PCODE=35427","1","accepted","none","owner-review-pending","2026-08-06T08:11:43.434Z","Exact stable ADM3_PCODE mapping; owner approval remains pending"
"LB-XW-60474A27720F","LB-LOC-35435","LB-LOC-35435","35435","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","Aain Tinta","عين تنتا","عين تنتا","SRC-NATIONAL-VILLAGE-MANIFEST","35435","Aain Tinta","عين تنتا","","","exact-pcode","ADM3_PCODE=35435","1","accepted","none","owner-review-pending","2026-08-06T08:11:43.434Z","Exact stable ADM3_PCODE mapping; owner approval remains pending"
"LB-XW-1C1E3F3FC1E5","LB-LOC-35187","LB-LOC-35187","35187","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","Aain Yaaqoub","عين يعقوب","عين يعقوب","SRC-NATIONAL-VILLAGE-MANIFEST","35187","Aain Yaaqoub","عين يعقوب","","","exact-pcode","ADM3_PCODE=35187","1","accepted","none","owner-review-pending","2026-08-06T08:11:43.434Z","Exact stable ADM3_PCODE mapping; owner approval remains pending"
"LB-XW-C3AEDAAE688D","LB-LOC-35185","LB-LOC-35185","35185","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","Aaiyat","عيات","عيات","SRC-NATIONAL-VILLAGE-MANIFEST","35185","Aaiyat","عيات","","","exact-pcode","ADM3_PCODE=35185","1","accepted","none","owner-review-pending","2026-08-06T08:11:43.434Z","Exact stable ADM3_PCODE mapping; owner approval remains pending"
"LB-XW-2F964CDCDD4D","LB-LOC-35191","LB-LOC-35191","35191","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","Aakkar El-Aatiqa","عكار العتيقة","عكار العتيقة","SRC-NATIONAL-VILLAGE-MANIFEST","35191","Aakkar El-Aatiqa","عكار العتيقة","","","exact-pcode","ADM3_PCODE=35191","1","accepted","none","owner-review-pending","2026-08-06T08:11:43.434Z","Exact stable ADM3_PCODE mapping; owner approval remains pending"
"LB-XW-F133BFCDF2F2","LB-LOC-35265","LB-LOC-35265","35265","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","Aamaret Aakkar","عماره","عماره","SRC-NATIONAL-VILLAGE-MANIFEST","35265","Aamaret Aakkar","عماره","","","exact-pcode","ADM3_PCODE=35265","1","accepted","none","owner-review-pending","2026-08-06T08:11:43.434Z","Exact stable ADM3_PCODE mapping; owner approval remains pending"
"LB-XW-3C31C2CE724D","LB-LOC-35449","LB-LOC-35449","35449","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","Aamaret El-Baykat","عمار البيكات","عمار البيكات","SRC-NATIONAL-VILLAGE-MANIFEST","35449","Aamaret El-Baykat","عمار البيكات","","","exact-pcode","ADM3_PCODE=35449","1","accepted","none","owner-review-pending","2026-08-06T08:11:43.434Z","Exact stable ADM3_PCODE mapping; owner approval remains pending"
"LB-XW-5C0E6824AD8E","LB-LOC-35512","LB-LOC-35512","35512","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","Aamayer","العماير","العماير","SRC-NATIONAL-VILLAGE-MANIFEST","35512","Aamayer","العماير","","","exact-pcode","ADM3_PCODE=35512","1","accepted","none","owner-review-pending","2026-08-06T08:11:43.434Z","Exact stable ADM3_PCODE mapping; owner approval remains pending"
"LB-XW-1B54287C1E50","LB-LOC-35421","LB-LOC-35421","35421","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","Aamriyet Aakkar","العمارية","العمارية","SRC-NATIONAL-VILLAGE-MANIFEST","35421","Aamriyet Aakkar","العمارية","","","exact-pcode","ADM3_PCODE=35421","1","accepted","none","owner-review-pending","2026-08-06T08:11:43.434Z","Exact stable ADM3_PCODE mapping; owner approval remains pending"
