"id","code","governorateId","parentId","officialCode","pcode","nameAr","nameEn","nameFr","aliases","provenance","isOfficialDistrict","isUiSelectionNode","active"
"LB-DIST-BF0E8E432529","LB-AK|Akkar","LB-GOV-AKK","LB-GOV-AKK","","","","Akkar","","","","true","true","true"
"LB-DIST-A3F7F98AD99A","LB-AS|Batroun","LB-GOV-NLB","LB-GOV-NLB","","","","Batroun","","","","true","true","true"
"LB-DIST-510442BCD398","LB-AS|Bsharri","LB-GOV-NLB","LB-GOV-NLB","","","","Bsharri","","","","true","true","true"
"LB-DIST-60A64BA694F5","LB-AS|Koura","LB-GOV-NLB","LB-GOV-NLB","","","","Koura","","","","true","true","true"
"LB-DIST-DF469A1CB1EC","LB-AS|Minieh-Dinniyeh","LB-GOV-NLB","LB-GOV-NLB","","","","Minieh-Dinniyeh","","","","true","true","true"
"LB-DIST-8FCD230CB5F9","LB-AS|Tripoli","LB-GOV-NLB","LB-GOV-NLB","","","","Tripoli","","","","true","true","true"
"LB-DIST-669AE13DF731","LB-AS|Zgharta","LB-GOV-NLB","LB-GOV-NLB","","","","Zgharta","","","","true","true","true"
"LB-DIST-C18586C49F8C","LB-BH|Baalbek","LB-GOV-BHB","LB-GOV-BHB","","","","Baalbek","","","","true","true","true"
"LB-DIST-7546F9364304","LB-BH|Hermel","LB-GOV-BHB","LB-GOV-BHB","","","","Hermel","","","","true","true","true"
"LB-DIST-5DF05E2B012F","LB-BI|Rachaya","LB-GOV-BEQ","LB-GOV-BEQ","","","","Rachaya","","","","true","true","true"
"LB-DIST-4C17E6377320","LB-BI|West_Beqaa","LB-GOV-BEQ","LB-GOV-BEQ","","","","West_Beqaa","","","","true","true","true"
"LB-DIST-44864594B73A","LB-BI|Zahle","LB-GOV-BEQ","LB-GOV-BEQ","","","","Zahle","","","","true","true","true"
"LB-DIST-4BAD7915B3FB","LB-JA|Jezzine","LB-GOV-SLB","LB-GOV-SLB","","","","Jezzine","","","","true","true","true"
"LB-DIST-AE5723C639E4","LB-JA|Sidon_Saida","LB-GOV-SLB","LB-GOV-SLB","","","","Sidon_Saida","","","","true","true","true"
"LB-DIST-07D5BC042CFB","LB-JA|Tyre_Sour","LB-GOV-SLB","LB-GOV-SLB","","","","Tyre_Sour","","","","true","true","true"
"LB-DIST-E2E3070ED2C0","LB-JL|Aley","LB-GOV-MLB","LB-GOV-MLB","","","","Aley","","","","true","true","true"
"LB-DIST-2565F21E5398","LB-JL|Baabda","LB-GOV-MLB","LB-GOV-MLB","","","","Baabda","","","","true","true","true"
"LB-DIST-860EEECDA270","LB-JL|Chouf","LB-GOV-MLB","LB-GOV-MLB","","","","Chouf","","","","true","true","true"
"LB-DIST-6CBC5E139FD3","LB-JL|El_Metn","LB-GOV-MLB","LB-GOV-MLB","","","","El_Metn","","","","true","true","true"
"LB-DIST-50F383C4FCA4","LB-JL|Jbeil_Byblos","LB-GOV-MLB","LB-GOV-MLB","","","","Jbeil_Byblos","","","","true","true","true"
"LB-DIST-EC9593138E48","LB-JL|Keserwan","LB-GOV-MLB","LB-GOV-MLB","","","","Keserwan","","","","true","true","true"
"LB-DIST-61ECD968AFA5","LB-NA|Bint_Jbeil","LB-GOV-NAB","LB-GOV-NAB","","","","Bint_Jbeil","","","","true","true","true"
"LB-DIST-179AC84C65BF","LB-NA|Hasbaya","LB-GOV-NAB","LB-GOV-NAB","","","","Hasbaya","","","","true","true","true"
"LB-DIST-51EAD60DE824","LB-NA|Marjayoun","LB-GOV-NAB","LB-GOV-NAB","","","","Marjayoun","","","","true","true","true"
"LB-DIST-000629FF773D","LB-NA|Nabatieh","LB-GOV-NAB","LB-GOV-NAB","","","","Nabatieh","","","","true","true","true"
