"id","countryCode","governorateId","districtId","municipalityId","cadastralCode","pcode","nameAr","nameEn","nameFr","kind","latitude","longitude","coordinateMethod","coordinateSource","coordinateAccuracy","coordinateVerifiedStatus","verifiedStatus","aliases","provenance","sourceRecordId","active"
"LB-LOC-53624DE9A865","LB","LB-GOV-AKK","LB-DIST-BF0E8E432529","","","","","Aadbal","","populated-place","","","missing","none","","missing","unresolved","","[object Object]","LB-AK|Akkar|Aadbal","true"
"LB-LOC-F8782348CF9E","LB","LB-GOV-AKK","LB-DIST-BF0E8E432529","","","","","Aajjeh","","populated-place","","","missing","none","","missing","unresolved","","[object Object]","LB-AK|Akkar|Aajjeh","true"
"LB-LOC-914B203B4FE7","LB","LB-GOV-AKK","LB-DIST-BF0E8E432529","","","","","Abdeh","","populated-place","","","missing","none","","missing","unresolved","","[object Object]","LB-AK|Akkar|Abdeh","true"
"LB-LOC-D5DD7786142B","LB","LB-GOV-AKK","LB-DIST-BF0E8E432529","","","","","Abou_Hanna","","populated-place","","","missing","none","","missing","unresolved","","[object Object]","LB-AK|Akkar|Abou_Hanna","true"
"LB-LOC-380403BF8A4E","LB","LB-GOV-AKK","LB-DIST-BF0E8E432529","","","","","Achouriye","","populated-place","","","missing","none","","missing","unresolved","","[object Object]","LB-AK|Akkar|Achouriye","true"
"LB-LOC-DB5F06F50CF4","LB","LB-GOV-AKK","LB-DIST-BF0E8E432529","","","","","Adweh","","populated-place","","","missing","none","","missing","unresolved","","[object Object]","LB-AK|Akkar|Adweh","true"
"LB-LOC-CB11AAC595C2","LB","LB-GOV-AKK","LB-DIST-BF0E8E432529","","","","","Aidamoun","","populated-place","","","missing","none","","missing","unresolved","","[object Object]","LB-AK|Akkar|Aidamoun","true"
"LB-LOC-A64B93CD8D86","LB","LB-GOV-AKK","LB-DIST-BF0E8E432529","","","","","Ain_Akrine-AK","","populated-place","34.28610100470142","35.84686482121348","repository-reference","akkar_crs_batch_scores","","missing","unresolved","","[object Object]","LB-AK|Akkar|Ain_Akrine-AK","true"
"LB-LOC-FCFDDC886872","LB","LB-GOV-AKK","LB-DIST-BF0E8E432529","","","","","Ain_Yaaqoub","","populated-place","34.522428899999994","36.1992377","repository-reference","online_nominatim","","missing","unresolved","","[object Object]","LB-AK|Akkar|Ain_Yaaqoub","true"
"LB-LOC-4E05B01A2DBF","LB","LB-GOV-AKK","LB-DIST-BF0E8E432529","","","","","Ain_ech-Chqif","","populated-place","","","missing","none","","missing","unresolved","","[object Object]","LB-AK|Akkar|Ain_ech-Chqif","true"
"LB-LOC-328BABF92B01","LB","LB-GOV-AKK","LB-DIST-BF0E8E432529","","","","","Ain_ed-Dahab","","populated-place","","","missing","none","","missing","unresolved","","[object Object]","LB-AK|Akkar|Ain_ed-Dahab","true"
"LB-LOC-F826CBAFAA5F","LB","LB-GOV-AKK","LB-DIST-BF0E8E432529","","","","","Ain_et-Tine-AK","","populated-place","","","missing","none","","missing","unresolved","","[object Object]","LB-AK|Akkar|Ain_et-Tine-AK","true"
"LB-LOC-B6E0445DF913","LB","LB-GOV-AKK","LB-DIST-BF0E8E432529","","","","","Ain_et-Tineh-AK","","populated-place","","","missing","none","","missing","unresolved","","[object Object]","LB-AK|Akkar|Ain_et-Tineh-AK","true"
"LB-LOC-FAAE67698E58","LB","LB-GOV-AKK","LB-DIST-BF0E8E432529","","","","","Ain_ez-Zouq","","populated-place","","","missing","none","","missing","unresolved","","[object Object]","LB-AK|Akkar|Ain_ez-Zouq","true"
"LB-LOC-CCA03F1190F2","LB","LB-GOV-AKK","LB-DIST-BF0E8E432529","","","","","Akkar_el-Atika","","populated-place","","","missing","none","","missing","unresolved","","[object Object]","LB-AK|Akkar|Akkar_el-Atika","true"
"LB-LOC-CE7DB9E869D9","LB","LB-GOV-AKK","LB-DIST-BF0E8E432529","","","","","Akkar_el-Atika_Aala","","populated-place","","","missing","none","","missing","unresolved","","[object Object]","LB-AK|Akkar|Akkar_el-Atika_Aala","true"
"LB-LOC-12B799DE66BB","LB","LB-GOV-AKK","LB-DIST-BF0E8E432529","","","","","Amaayer","","populated-place","","","missing","none","","missing","unresolved","","[object Object]","LB-AK|Akkar|Amaayer","true"
