"id","value","normalizedValue","language","localityId","provenance","active"
"LB-ALIAS-932438ED81FD","Aadbal","aadbal","en","LB-LOC-53624DE9A865","[object Object]","true"
"LB-ALIAS-4A722E45AC35","Aajjeh","aajjeh","en","LB-LOC-F8782348CF9E","[object Object]","true"
"LB-ALIAS-68C120CFC918","Abdeh","abdeh","en","LB-LOC-914B203B4FE7","[object Object]","true"
"LB-ALIAS-A389FBB260DE","Abou_Hanna","abou_hanna","en","LB-LOC-D5DD7786142B","[object Object]","true"
"LB-ALIAS-9485BD614437","Achouriye","achouriye","en","LB-LOC-380403BF8A4E","[object Object]","true"
"LB-ALIAS-552F57354FC5","Adweh","adweh","en","LB-LOC-DB5F06F50CF4","[object Object]","true"
"LB-ALIAS-F5E2922ED906","Aidamoun","aidamoun","en","LB-LOC-CB11AAC595C2","[object Object]","true"
"LB-ALIAS-F807FB1EC22F","Ain_Akrine-AK","ain_akrine ak","en","LB-LOC-A64B93CD8D86","[object Object]","true"
"LB-ALIAS-B986F158F5DA","Ain_Yaaqoub","ain_yaaqoub","en","LB-LOC-FCFDDC886872","[object Object]","true"
"LB-ALIAS-F237AA313A8F","Ain_ech-Chqif","ain_ech chqif","en","LB-LOC-4E05B01A2DBF","[object Object]","true"
"LB-ALIAS-9B7C5953C066","Ain_ed-Dahab","ain_ed dahab","en","LB-LOC-328BABF92B01","[object Object]","true"
"LB-ALIAS-DCEAAD59B758","Ain_et-Tine-AK","ain_et tine ak","en","LB-LOC-F826CBAFAA5F","[object Object]","true"
"LB-ALIAS-A6E83E51AABD","Ain_et-Tineh-AK","ain_et tineh ak","en","LB-LOC-B6E0445DF913","[object Object]","true"
"LB-ALIAS-14E692527D99","Ain_ez-Zouq","ain_ez zouq","en","LB-LOC-FAAE67698E58","[object Object]","true"
"LB-ALIAS-70D14A49E6FC","Akkar_el-Atika","akkar_el atika","en","LB-LOC-CCA03F1190F2","[object Object]","true"
"LB-ALIAS-DDB62A4D0939","Akkar_el-Atika_Aala","akkar_el atika_aala","en","LB-LOC-CE7DB9E869D9","[object Object]","true"
"LB-ALIAS-B1181D14883F","Amaayer","amaayer","en","LB-LOC-12B799DE66BB","[object Object]","true"
"LB-ALIAS-E57AB4DF963C","Amara","amara","en","LB-LOC-3763C2F4BB27","[object Object]","true"
"LB-ALIAS-672EA99592D8","Ambeh","ambeh","en","LB-LOC-B9006B065FA4","[object Object]","true"
"LB-ALIAS-8288BDFE5B0C","Andaket","andaket","en","LB-LOC-4371EEF2814F","[object Object]","true"
"LB-ALIAS-9F17D5539B23","Aqbeh","aqbeh","en","LB-LOC-3489BEA5F617","[object Object]","true"
"LB-ALIAS-C7CFD226F1BC","Arqa","arqa","en","LB-LOC-FE27B0578FF0","[object Object]","true"
"LB-ALIAS-FD41E521BF4C","Ayat","ayat","en","LB-LOC-C02F37CDD9CB","[object Object]","true"
"LB-ALIAS-481EDC18E95D","Barqayel","barqayel","en","LB-LOC-0F6186A4399B","[object Object]","true"
"LB-ALIAS-610C20620F32","Bebnine","bebnine","en","LB-LOC-194044CB7A9F","[object Object]","true"
"LB-ALIAS-89F1476EEEB7","Beit_Ayad","beit_ayad","en","LB-LOC-4DE322BBB013","[object Object]","true"
"LB-ALIAS-0AC1B4AC2637","Beit_Ayoub","beit_ayoub","en","LB-LOC-12C8D17C3B52","[object Object]","true"
"LB-ALIAS-37FA99C3E592","Beit_Challa","beit_challa","en","LB-LOC-3676A5FD9E08","[object Object]","true"
"LB-ALIAS-B028749054B0","Beit_Dawoud","beit_dawoud","en","LB-LOC-60D8727EC9EC","[object Object]","true"
"LB-ALIAS-D0F386FAE5BC","Beit_Ghatas","beit_ghatas","en","LB-LOC-C3D3833BD810","[object Object]","true"
"LB-ALIAS-A682A471C869","Beit_Hawik","beit_hawik","en","LB-LOC-69096215F6E8","[object Object]","true"
"LB-ALIAS-D5C333FB7078","Beit_Jaafar-AK","beit_jaafar ak","en","LB-LOC-C744803BA4EC","[object Object]","true"
"LB-ALIAS-97C2AD2FC774","Beit_Mellat","beit_mellat","en","LB-LOC-C6D5FBBC8A46","[object Object]","true"
"LB-ALIAS-7D052771794C","Beit_Mleik","beit_mleik","en","LB-LOC-42847D6188C8","[object Object]","true"
"LB-ALIAS-E4E06E9D7A5F","Beit_Younes","beit_younes","en","LB-LOC-F26A20DBC549","[object Object]","true"
"LB-ALIAS-CEDAD704F151","Beit_Younes_el-Aala","beit_younes_el aala","en","LB-LOC-C917AD1395B7","[object Object]","true"
"LB-ALIAS-96665152B860","Beit_el-Haj","beit_el haj","en","LB-LOC-87AF6A506314","[object Object]","true"
"LB-ALIAS-F617312C25F1","Beit_el-Haj_Hassan","beit_el haj_hassan","en","LB-LOC-E1256D0D6759","[object Object]","true"
"LB-ALIAS-AF5DC611F9F2","Beit_el-Qadi","beit_el qadi","en","LB-LOC-ACAE1E490634","[object Object]","true"
"LB-ALIAS-5AD8BEBE6B95","Bino-AK","bino ak","en","LB-LOC-7365D28B0183","[object Object]","true"
"LB-ALIAS-2F414A8F8295","Bireh","bireh","en","LB-LOC-3B5FBE5042FD","[object Object]","true"
"LB-ALIAS-FBA2ACF6DFC5","Bireh-AK","bireh ak","en","LB-LOC-A9C88A80B497","[object Object]","true"
"LB-ALIAS-651744CB71B2","Blaneh","blaneh","en","LB-LOC-5AE94721E014","[object Object]","true"
"LB-ALIAS-BD57F11EECB7","Bniha","bniha","en","LB-LOC-6F08286AD76D","[object Object]","true"
"LB-ALIAS-E3EB8E42F968","Bticha","bticha","en","LB-LOC-30DFF735F16B","[object Object]","true"
"LB-ALIAS-1D74E94747B7","Byoud","byoud","en","LB-LOC-6453629EA650","[object Object]","true"
"LB-ALIAS-97589337C088","Bzal","bzal","en","LB-LOC-53615AF9346D","[object Object]","true"
"LB-ALIAS-36C722E0B881","Chaft","chaft","en","LB-LOC-D77C6D0BD7F8","[object Object]","true"
"LB-ALIAS-DD77B6E0C15C","Chane","chane","en","LB-LOC-C3DF64E0096A","[object Object]","true"
"LB-ALIAS-75AE35D79433","Chdra","chdra","en","LB-LOC-AA5F0B403A2B","[object Object]","true"
"LB-ALIAS-21072E0EFF5D","Cheikh_Ayache","cheikh_ayache","en","LB-LOC-8E672F405A1E","[object Object]","true"
"LB-ALIAS-5A75375BDC7D","Cheikh_Mohammad","cheikh_mohammad","en","LB-LOC-136F23CE1EBC","[object Object]","true"
"LB-ALIAS-DADB3DC32E88","Cheikh_Taba","cheikh_taba","en","LB-LOC-B8EE8186CCDB","[object Object]","true"
"LB-ALIAS-3CDA8310C602","Daghleh","daghleh","en","LB-LOC-5F68AC21939B","[object Object]","true"
"LB-ALIAS-DF71FE56F547","Dawsseh","dawsseh","en","LB-LOC-32C841CAABD6","[object Object]","true"
"LB-ALIAS-AE612598841D","Dbabiyeh","dbabiyeh","en","LB-LOC-2C9FD6F7B4AA","[object Object]","true"
"LB-ALIAS-F00E994D0F23","Dbabiyeh_el-Fawqa","dbabiyeh_el fawqa","en","LB-LOC-55E703404D67","[object Object]","true"
"LB-ALIAS-817FE370FC8E","Deir_Jnine","deir_jnine","en","LB-LOC-67510F4F9619","[object Object]","true"
"LB-ALIAS-5746BEF60B59","El-Achach","el achach","en","LB-LOC-A8D525EC44EF","[object Object]","true"
"LB-ALIAS-2B57DA0FB25E","El-Basatine","el basatine","en","LB-LOC-66537561732A","[object Object]","true"
"LB-ALIAS-9B3876ADC99A","El-Kniseh-AK","el kniseh ak","en","LB-LOC-E19D5FFBBA7E","[object Object]","true"
"LB-ALIAS-BFCEED586AAE","El-Qubbeh-AK","el qubbeh ak","en","LB-LOC-42AFCEB6B23C","[object Object]","true"
"LB-ALIAS-743105D908E3","El-Qubbeh_ech-Chamaliye","el qubbeh_ech chamaliye","en","LB-LOC-7FA25B7EE41D","[object Object]","true"
"LB-ALIAS-1894CED7A5CD","El_Qobaiyat","el_qobaiyat","en","LB-LOC-BFA6ABA93EE2","[object Object]","true"
"LB-ALIAS-343EA374FA43","Faydha","faydha","en","LB-LOC-9AD9DF4899BB","[object Object]","true"
"LB-ALIAS-41A1FD718039","Fnaideq","fnaideq","en","LB-LOC-B47B7DAAFE43","[object Object]","true"
"LB-ALIAS-4408F77A9490","Fnaideq_el-Gharbiye","fnaideq_el gharbiye","en","LB-LOC-3CA1AEB5BC4C","[object Object]","true"
"LB-ALIAS-4997A0F81642","Hakour","hakour","en","LB-LOC-1701EAD26C96","[object Object]","true"
"LB-ALIAS-06EC08804147","Halba","halba","en","LB-LOC-0ACBC221BDC4","[object Object]","true"
"LB-ALIAS-FC7DF6B760CB","Halba_el-Aalya","halba_el aalya","en","LB-LOC-5BD697303EF3","[object Object]","true"
"LB-ALIAS-049C24D833DC","Halbata","halbata","en","LB-LOC-D620767CD794","[object Object]","true"
"LB-ALIAS-D645028F7F3B","Hamra-AK","hamra ak","en","LB-LOC-19BB8CED948A","[object Object]","true"
"LB-ALIAS-DCB9EEF28EDB","Hamraya","hamraya","en","LB-LOC-31760CC7E728","[object Object]","true"
"LB-ALIAS-E5440303AD52","Haql_Hassan","haql_hassan","en","LB-LOC-164D04E72BA3","[object Object]","true"
"LB-ALIAS-F636F35E6473","Haql_el-Alam","haql_el alam","en","LB-LOC-1DA9DC2E5953","[object Object]","true"
"LB-ALIAS-B6D70B36A90E","Haqr_ed-Dahiri","haqr_ed dahiri","en","LB-LOC-8CC9CB005B8A","[object Object]","true"
"LB-ALIAS-84C53C4BA5B4","Harbata-AK","harbata ak","en","LB-LOC-41D822E7F1D3","[object Object]","true"
"LB-ALIAS-77F94F53910B","Haret_el-Janneh","haret_el janneh","en","LB-LOC-0E5A46E865FF","[object Object]","true"
