"id","countryCode","governorateId","districtId","municipalityId","cadastralCode","pcode","nameAr","nameEn","nameFr","kind","latitude","longitude","coordinateMethod","coordinateSource","coordinateAccuracy","coordinateVerifiedStatus","verifiedStatus","aliases","sourceRecordId","active","provenance"
"LB-LOC-35249","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35249","العبودية","Aabboudiyeh","","populated-place","34.6358627","36.11869755","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35249","true","[object Object]"
"LB-LOC-35427","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35427","عين الزيت","Aain Ez-Zeit","","populated-place","34.5898834","36.19806475","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35427","true","[object Object]"
"LB-LOC-35435","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35435","عين تنتا","Aain Tinta","","populated-place","34.5865719","36.18302053","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35435","true","[object Object]"
"LB-LOC-35187","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35187","عين يعقوب","Aain Yaaqoub","","populated-place","34.52149379","36.2033353","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35187","true","[object Object]"
"LB-LOC-35185","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35185","عيات","Aaiyat","","populated-place","34.5379369","36.19864908","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35185","true","[object Object]"
"LB-LOC-35191","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35191","عكار العتيقة","Aakkar El-Aatiqa","","populated-place","34.53167704","36.24460095","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35191","true","[object Object]"
"LB-LOC-35265","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35265","عماره","Aamaret Aakkar","","populated-place","34.53128334","36.00705852","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35265","true","[object Object]"
"LB-LOC-35449","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35449","عمار البيكات","Aamaret El-Baykat","","populated-place","34.61148895","36.16647835","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35449","true","[object Object]"
"LB-LOC-35512","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35512","العماير","Aamayer","","populated-place","34.61926706","36.37144716","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35512","true","[object Object]"
"LB-LOC-35421","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35421","العمارية","Aamriyet Aakkar","","populated-place","34.60237408","36.23046383","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35421","true","[object Object]"
"LB-LOC-35498","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35498","عندقت","Aandqet","","populated-place","34.568107","36.31161589","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35498","true","[object Object]"
"LB-LOC-35420","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35420","العوينات","Aaouaainat Aakkar","","populated-place","34.62841075","36.30054491","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35420","true","[object Object]"
"LB-LOC-35273","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35273","العريضة","AAridet Cheikh Zennad","","populated-place","34.63536119","35.98615918","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35273","true","[object Object]"
"LB-LOC-35484","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35484","عرمه","Aarmeh","","populated-place","34.62753035","36.16445943","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35484","true","[object Object]"
"LB-LOC-35141","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35141","عرقا","Aarqa","","populated-place","34.54432298","36.04291526","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35141","true","[object Object]"
"LB-LOC-35177","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35177","العيون","Aayoun Aakkar","","populated-place","34.53127615","36.17360872","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35177","true","[object Object]"
"LB-LOC-35347","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35347","عيون الغزلان","Aayoun El-Ghizlane","","populated-place","34.4724024","36.01560496","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35347","true","[object Object]"
"LB-LOC-35439","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35439","دوسة بغدادي","Baghdadi","","populated-place","34.60424003","36.18298737","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35439","true","[object Object]"
"LB-LOC-35158","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35158","بلدي","Balde WaMazraatBaldeh","","populated-place","34.56075783","36.14531445","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35158","true","[object Object]"
