"utc","stage","name","status","detail"
"2026-09-02T03:28:14.4189117Z","SOURCE_IDENTITY","selected source paths exist and are hashed","PASS","count=23; missing=0"
"2026-09-02T03:28:17.5093356Z","MIGRATION_STATUS","migration 037 applied in configured database","PASS","applied=True"
"2026-09-02T03:29:17.8491938Z","GATEWAY_VALIDATION","Gateway typecheck","PASS","exitCode=0"
"2026-09-02T03:29:17.8806099Z","GATEWAY_VALIDATION","route and preserved Payload boundary tests","PASS","exitCode=0"
"2026-09-02T03:29:17.9041853Z","GATEWAY_VALIDATION","Forms and Announcements runtime tests","PASS","exitCode=0"
"2026-09-02T03:30:14.2349461Z","ADMIN_BUILD","Admin typecheck","PASS","exitCode=0"
"2026-09-02T03:30:14.2784764Z","ADMIN_BUILD","Admin production build","PASS","exitCode=0; distIndex=True"
"2026-09-02T03:30:15.1050556Z","BROWSER_PROOF","authenticated Forms and Announcements browser surfaces","PASS","desktop=1440x900; mobile=430x932; screenshots=4"
"2026-09-02T03:30:28.0677379Z","CLEANUP","synthetic entity, relationship, audit, and version residue is zero","PASS","{""entities"":0,""relationships"":0,""audits"":0,""versions"":0}"
"2026-09-02T03:30:29.1707554Z","WORKTREE_CLASSIFICATION","full untracked worktree status captured and classified","PASS","all=19; target=12; unrelated=7"
"2026-09-02T03:30:29.4825994Z","CLOSEOUT","all Wave 4B.2 executable gates pass","PASS","priorStatuses=PASS,PASS,PASS,PASS,PASS,PASS,PASS"
